trip_id,trip_date,trip_day,is_weekend,trip_hour,weather,pickup_city,pickup_location,drop_location,cab_type,distance_km,travel_time_min,fare,fuel_cost,profit,payment_method,driver_id,driver_rating,customer_rating,surge_multiplier
18,2025-10-02,Thursday,0,15,Rainy,Hyderabad,Madhapur,LB Nagar,Sedan,20.51,49,393.79,102.55,291.24,UPI,1387,3.6,4.5,1.2
19,2026-01-31,Saturday,1,14,Sunny,Hyderabad,Ameerpet,Begumpet,Sedan,2.08,4,33.28,10.4,22.88,Debit Card,1171,4.2,4.2,1.0
20,2026-01-13,Tuesday,0,20,Cloudy,Hyderabad,Madhapur,Hitech City,SUV,1.61,3,48.3,11.27,37.03,Debit Card,1322,3.7,3.9,1.5
21,2025-11-17,Monday,0,17,Sunny,Hyderabad,Kukatpally,Secunderabad,Sedan,12.12,29,193.92,60.6,133.32,Debit Card,1339,4.4,3.9,1.0
22,2026-04-14,Tuesday,0,21,Rainy,Hyderabad,Madhapur,Uppal,SUV,18.42,44,626.28,128.94,497.34,UPI,1334,4.7,3.7,1.7
23,2026-06-06,Saturday,1,8,Rainy,Hyderabad,Uppal,Secunderabad,Auto,7.48,17,127.16,22.44,104.72,UPI,1024,4.6,3.9,1.7
24,2026-04-16,Thursday,0,11,Cloudy,Hyderabad,Rajiv Gandhi International Airport,Madhapur,Auto,23.37,56,233.7,70.11,163.59,UPI,1442,3.7,4.3,1.0
25,2026-01-21,Wednesday,0,22,Rainy,Hyderabad,Banjara Hills,Hitech City,Auto,7.42,17,89.04,22.26,66.78,Debit Card,1247,3.7,4.0,1.2
26,2026-03-28,Saturday,1,11,Rainy,Hyderabad,Charminar,Dilsukhnagar,Auto,5.37,12,64.44,16.11,48.33,Cash,1429,4.4,3.9,1.2
27,2025-11-29,Saturday,1,11,Sunny,Hyderabad,Charminar,LB Nagar,SUV,8.42,20,168.4,58.94,109.46,Wallet,1227,3.8,4.8,1.0
28,2026-02-03,Tuesday,0,19,Cloudy,Hyderabad,Uppal,Dilsukhnagar,SUV,5.49,13,164.7,38.43,126.27,Credit Card,1075,4.1,4.5,1.5
29,2025-08-25,Monday,0,13,Sunny,Hyderabad,Banjara Hills,Begumpet,SUV,4.54,10,90.8,31.78,59.02,Debit Card,1299,4.1,3.5,1.0
30,2026-02-25,Wednesday,0,18,Sunny,Hyderabad,Uppal,Kukatpally,SUV,19.6,47,588.0,137.2,450.8,Credit Card,1374,3.9,3.7,1.5
31,2026-01-04,Sunday,1,21,Cloudy,Hyderabad,Madhapur,Begumpet,Auto,8.0,19,120.0,24.0,96.0,Credit Card,1124,4.5,4.6,1.5
32,2026-06-22,Monday,0,21,Cloudy,Hyderabad,Secunderabad,Hitech City,SUV,12.87,30,386.1,90.09,296.01,Credit Card,1335,4.2,3.7,1.5
33,2025-09-19,Friday,0,15,Sunny,Hyderabad,Begumpet,Miyapur,Mini,13.12,31,157.44,52.48,104.96,Cash,1458,3.8,4.1,1.0
34,2025-08-14,Thursday,0,21,Sunny,Hyderabad,Ameerpet,Jubilee Hills,SUV,4.41,10,132.3,30.87,101.43,Wallet,1264,4.0,3.3,1.5
35,2025-12-31,Wednesday,0,19,Rainy,Hyderabad,Dilsukhnagar,Gachibowli,Sedan,20.28,48,551.62,101.4,450.22,UPI,1172,4.4,3.9,1.7
36,2025-11-13,Thursday,0,18,Cloudy,Hyderabad,LB Nagar,Secunderabad,Sedan,11.9,28,285.6,59.5,226.1,Credit Card,1054,3.9,4.9,1.5
37,2025-12-07,Sunday,1,7,Cloudy,Hyderabad,Hitech City,Kukatpally,Mini,6.16,14,73.92,24.64,49.28,Credit Card,1091,4.0,3.2,1.0
38,2026-02-14,Saturday,1,18,Cloudy,Hyderabad,Charminar,Jubilee Hills,Mini,10.65,25,191.7,42.6,149.1,Credit Card,1396,3.7,4.9,1.5
39,2025-10-05,Sunday,1,12,Rainy,Hyderabad,Dilsukhnagar,Banjara Hills,Auto,10.3,24,123.6,30.9,92.7,UPI,1028,3.9,4.6,1.2
40,2026-03-25,Wednesday,0,13,Sunny,Hyderabad,Ameerpet,Kukatpally,SUV,8.18,19,163.6,57.26,106.34,Wallet,1075,4.8,4.0,1.0
41,2025-12-04,Thursday,0,23,Cloudy,Hyderabad,Charminar,Dilsukhnagar,Auto,5.37,12,53.7,16.11,37.59,Debit Card,1441,4.0,3.7,1.0
42,2025-10-29,Wednesday,0,22,Cloudy,Hyderabad,Charminar,Begumpet,SUV,9.16,21,183.2,64.12,119.08,Credit Card,1454,3.5,3.4,1.0
43,2025-11-12,Wednesday,0,18,Sunny,Hyderabad,Uppal,Madhapur,Auto,18.42,44,276.3,55.26,221.04,Cash,1484,3.8,4.2,1.5
44,2026-05-12,Tuesday,0,16,Cloudy,Hyderabad,Secunderabad,Charminar,SUV,9.02,21,180.4,63.14,117.26,Debit Card,1306,4.0,4.2,1.0
45,2025-11-17,Monday,0,6,Cloudy,Hyderabad,Charminar,Jubilee Hills,Auto,10.65,25,106.5,31.95,74.55,Cash,1141,4.3,4.0,1.0
46,2025-09-07,Sunday,1,17,Rainy,Hyderabad,Madhapur,Miyapur,SUV,6.56,15,157.44,45.92,111.52,Cash,1068,4.4,4.2,1.2
47,2026-07-08,Wednesday,0,11,Sunny,Hyderabad,LB Nagar,Kukatpally,Auto,23.13,55,231.3,69.39,161.91,Credit Card,1207,4.8,4.3,1.0
48,2025-09-13,Saturday,1,12,Sunny,Hyderabad,Secunderabad,Gachibowli,SUV,15.87,38,317.4,111.09,206.31,Cash,1088,4.4,4.1,1.0
49,2025-10-04,Saturday,1,8,Rainy,Hyderabad,Begumpet,Dilsukhnagar,Auto,10.36,24,176.12,31.08,145.04,Credit Card,1245,4.4,4.1,1.7
50,2026-04-20,Monday,0,21,Sunny,Hyderabad,Gachibowli,Secunderabad,Sedan,15.87,38,380.88,79.35,301.53,Debit Card,1141,3.5,3.0,1.5
51,2025-12-29,Monday,0,7,Cloudy,Hyderabad,Kukatpally,Miyapur,Bike,4.62,11,36.96,9.24,27.72,Debit Card,1199,4.8,4.2,1.0
52,2026-03-10,Tuesday,0,13,Cloudy,Hyderabad,Gachibowli,Miyapur,Sedan,6.33,15,101.28,31.65,69.63,Wallet,1167,4.8,4.5,1.0
53,2025-10-16,Thursday,0,8,Cloudy,Hyderabad,Miyapur,Secunderabad,Sedan,16.36,39,392.64,81.8,310.84,Debit Card,1024,4.8,4.8,1.5
54,2025-08-25,Monday,0,13,Sunny,Hyderabad,Kukatpally,Uppal,Sedan,19.6,47,313.6,98.0,215.6,UPI,1305,4.1,4.7,1.0
55,2026-01-24,Saturday,1,8,Cloudy,Hyderabad,Dilsukhnagar,Begumpet,Auto,10.36,24,155.4,31.08,124.32,UPI,1190,3.8,3.1,1.5
56,2025-10-17,Friday,0,21,Sunny,Hyderabad,Miyapur,Secunderabad,SUV,16.36,39,490.8,114.52,376.28,Wallet,1413,3.9,3.7,1.5
57,2026-05-21,Thursday,0,19,Sunny,Hyderabad,Uppal,Hitech City,Mini,19.77,47,355.86,79.08,276.78,Debit Card,1375,4.4,3.1,1.5
58,2026-06-17,Wednesday,0,18,Cloudy,Hyderabad,Ameerpet,Gachibowli,Sedan,10.56,25,253.44,52.8,200.64,UPI,1291,4.1,4.0,1.5
59,2025-08-01,Friday,0,16,Sunny,Hyderabad,Dilsukhnagar,Miyapur,SUV,22.84,54,456.8,159.88,296.92,Credit Card,1169,3.8,4.3,1.0
60,2026-02-22,Sunday,1,16,Rainy,Hyderabad,Uppal,Charminar,SUV,10.22,24,245.28,71.54,173.74,Wallet,1050,4.0,4.5,1.2
61,2025-10-09,Thursday,0,6,Cloudy,Hyderabad,Secunderabad,Madhapur,SUV,11.38,27,227.6,79.66,147.94,Wallet,1439,4.2,4.3,1.0
62,2026-05-18,Monday,0,17,Sunny,Hyderabad,Jubilee Hills,Ameerpet,Mini,4.41,10,52.92,17.64,35.28,UPI,1322,4.2,3.5,1.0
63,2025-08-28,Thursday,0,17,Sunny,Hyderabad,LB Nagar,Kukatpally,SUV,23.13,55,462.6,161.91,300.69,Wallet,1392,4.8,3.4,1.0
64,2026-07-07,Tuesday,0,14,Sunny,Hyderabad,Kukatpally,Charminar,SUV,16.76,40,335.2,117.32,217.88,UPI,1127,3.6,3.7,1.0
65,2026-06-15,Monday,0,9,Sunny,Hyderabad,Gachibowli,LB Nagar,Auto,24.0,57,360.0,72.0,288.0,UPI,1061,3.6,3.4,1.5
66,2025-09-19,Friday,0,18,Sunny,Hyderabad,Miyapur,LB Nagar,Bike,26.71,64,320.52,53.42,267.1,UPI,1151,4.2,3.8,1.5
67,2025-08-26,Tuesday,0,13,Rainy,Hyderabad,Uppal,Secunderabad,Sedan,7.48,17,143.62,37.4,106.22,Cash,1154,4.7,4.6,1.2
68,2025-10-12,Sunday,1,7,Cloudy,Hyderabad,Jubilee Hills,Miyapur,Bike,8.94,21,71.52,17.88,53.64,Wallet,1221,4.0,4.8,1.0
69,2026-03-08,Sunday,1,22,Cloudy,Hyderabad,Uppal,LB Nagar,Auto,6.69,16,66.9,20.07,46.83,Debit Card,1231,4.2,4.1,1.0
70,2026-03-25,Wednesday,0,18,Cloudy,Hyderabad,Madhapur,Secunderabad,Bike,11.38,27,136.56,22.76,113.8,Wallet,1258,4.9,4.2,1.5
71,2025-09-13,Saturday,1,12,Cloudy,Hyderabad,Hitech City,Madhapur,SUV,1.61,3,32.2,11.27,20.93,Credit Card,1159,3.7,4.9,1.0
72,2026-07-10,Friday,0,1,Sunny,Hyderabad,Gachibowli,Dilsukhnagar,Sedan,20.28,48,324.48,101.4,223.08,Cash,1499,4.3,3.1,1.0
73,2025-12-15,Monday,0,8,Rainy,Hyderabad,Banjara Hills,Secunderabad,SUV,6.97,16,236.98,48.79,188.19,Cash,1176,4.9,4.8,1.7
74,2025-10-23,Thursday,0,22,Cloudy,Hyderabad,Begumpet,Dilsukhnagar,Mini,10.36,24,124.32,41.44,82.88,Wallet,1254,4.1,3.5,1.0
75,2026-05-30,Saturday,1,19,Sunny,Hyderabad,LB Nagar,Dilsukhnagar,Bike,3.88,9,46.56,7.76,38.8,Cash,1246,4.1,4.6,1.5
76,2026-05-23,Saturday,1,7,Rainy,Hyderabad,Uppal,Gachibowli,Mini,22.65,54,326.16,90.6,235.56,Wallet,1375,4.6,4.0,1.2
77,2026-06-04,Thursday,0,16,Rainy,Hyderabad,Banjara Hills,Rajiv Gandhi International Airport,SUV,19.1,45,458.4,133.7,324.7,Cash,1102,4.2,4.9,1.2
78,2026-05-19,Tuesday,0,19,Rainy,Hyderabad,Secunderabad,Dilsukhnagar,Mini,8.35,20,170.34,33.4,136.94,Wallet,1034,4.0,3.5,1.7
79,2026-02-19,Thursday,0,18,Rainy,Hyderabad,Hitech City,Miyapur,Auto,6.32,15,107.44,18.96,88.48,Cash,1023,3.6,3.1,1.7
80,2026-07-27,Monday,0,19,Cloudy,Hyderabad,Banjara Hills,Hitech City,Mini,7.42,17,133.56,29.68,103.88,Credit Card,1375,4.1,4.9,1.5
81,2026-06-26,Friday,0,17,Cloudy,Hyderabad,Ameerpet,Begumpet,Mini,2.08,4,24.96,8.32,16.64,UPI,1129,4.4,3.3,1.0
82,2025-11-21,Friday,0,23,Cloudy,Hyderabad,Jubilee Hills,Hitech City,SUV,3.4,8,68.0,23.8,44.2,Credit Card,1394,4.0,4.4,1.0
83,2026-02-07,Saturday,1,20,Rainy,Hyderabad,Madhapur,Miyapur,Auto,6.56,15,111.52,19.68,91.84,Wallet,1257,4.1,4.0,1.7
84,2026-04-25,Saturday,1,9,Sunny,Hyderabad,Miyapur,Dilsukhnagar,Mini,22.84,54,411.12,91.36,319.76,UPI,1468,4.6,3.2,1.5
85,2026-02-14,Saturday,1,9,Rainy,Hyderabad,Dilsukhnagar,LB Nagar,SUV,3.88,9,131.92,27.16,104.76,Debit Card,1336,4.5,4.1,1.7
86,2026-07-08,Wednesday,0,9,Sunny,Hyderabad,Uppal,Begumpet,Bike,10.69,25,128.28,21.38,106.9,Wallet,1123,5.0,3.5,1.5
87,2026-06-28,Sunday,1,20,Rainy,Hyderabad,LB Nagar,Begumpet,Auto,14.17,34,240.89,42.51,198.38,Credit Card,1312,4.5,4.4,1.7
88,2025-08-24,Sunday,1,7,Sunny,Hyderabad,Madhapur,Ameerpet,SUV,6.15,14,123.0,43.05,79.95,Credit Card,1167,4.8,4.2,1.0
89,2026-04-30,Thursday,0,11,Cloudy,Hyderabad,Secunderabad,Gachibowli,Sedan,15.87,38,253.92,79.35,174.57,Debit Card,1445,3.8,3.7,1.0
90,2026-01-01,Thursday,0,21,Cloudy,Hyderabad,Charminar,Begumpet,Mini,9.16,21,164.88,36.64,128.24,UPI,1340,4.1,3.8,1.5
91,2026-06-03,Wednesday,0,7,Sunny,Hyderabad,Gachibowli,Dilsukhnagar,Auto,20.28,48,202.8,60.84,141.96,Credit Card,1115,4.1,3.6,1.0
92,2025-11-07,Friday,0,8,Rainy,Hyderabad,Begumpet,Miyapur,Auto,13.12,31,223.04,39.36,183.68,Credit Card,1494,4.1,3.0,1.7
93,2026-04-11,Saturday,1,18,Rainy,Hyderabad,Kukatpally,Dilsukhnagar,Sedan,19.26,46,523.87,96.3,427.57,UPI,1268,4.4,4.9,1.7
94,2026-02-15,Sunday,1,18,Rainy,Hyderabad,Rajiv Gandhi International Airport,Secunderabad,Sedan,23.27,55,632.94,116.35,516.59,Wallet,1464,4.0,4.0,1.7
95,2025-09-13,Saturday,1,18,Cloudy,Hyderabad,Uppal,Ameerpet,SUV,12.28,29,368.4,85.96,282.44,Wallet,1151,4.7,3.1,1.5
96,2026-01-31,Saturday,1,19,Rainy,Hyderabad,Jubilee Hills,Madhapur,Bike,2.4,5,32.64,4.8,27.84,Wallet,1188,4.4,4.0,1.7
97,2025-11-22,Saturday,1,20,Cloudy,Hyderabad,Dilsukhnagar,Jubilee Hills,Sedan,14.35,34,344.4,71.75,272.65,UPI,1016,4.0,4.1,1.5
98,2026-05-15,Friday,0,20,Cloudy,Hyderabad,Banjara Hills,Dilsukhnagar,SUV,10.3,24,309.0,72.1,236.9,Cash,1340,4.8,3.4,1.5
99,2025-08-25,Monday,0,17,Cloudy,Hyderabad,Charminar,Uppal,Bike,10.22,24,81.76,20.44,61.32,UPI,1306,4.0,3.7,1.0
100,2026-06-07,Sunday,1,16,Sunny,Hyderabad,Uppal,Secunderabad,Mini,7.48,17,89.76,29.92,59.84,Debit Card,1216,4.9,3.0,1.0
101,2025-09-26,Friday,0,5,Rainy,Hyderabad,Uppal,Madhapur,Mini,18.42,44,265.25,73.68,191.57,UPI,1244,5.0,4.8,1.2
102,2026-03-30,Monday,0,18,Sunny,Hyderabad,Gachibowli,Miyapur,Mini,6.33,15,113.94,25.32,88.62,Debit Card,1366,3.9,4.2,1.5
103,2026-01-30,Friday,0,10,Sunny,Hyderabad,Charminar,Dilsukhnagar,Auto,5.37,12,80.55,16.11,64.44,Cash,1079,4.9,4.0,1.5
104,2026-02-25,Wednesday,0,19,Rainy,Hyderabad,Gachibowli,Charminar,SUV,15.94,38,541.96,111.58,430.38,UPI,1040,5.0,3.7,1.7
105,2025-12-15,Monday,0,8,Sunny,Hyderabad,Gachibowli,Uppal,Mini,22.65,54,407.7,90.6,317.1,UPI,1144,4.0,3.1,1.5
106,2025-12-07,Sunday,1,14,Cloudy,Hyderabad,Rajiv Gandhi International Airport,Uppal,SUV,22.93,55,458.6,160.51,298.09,UPI,1045,4.9,5.0,1.0
107,2026-03-17,Tuesday,0,2,Sunny,Hyderabad,Gachibowli,Banjara Hills,Sedan,10.06,24,160.96,50.3,110.66,Cash,1158,4.6,4.3,1.0
108,2025-11-27,Thursday,0,21,Sunny,Hyderabad,Hitech City,LB Nagar,SUV,21.52,51,645.6,150.64,494.96,Credit Card,1278,4.4,4.6,1.5
109,2026-06-01,Monday,0,19,Sunny,Hyderabad,Dilsukhnagar,Begumpet,Bike,10.36,24,124.32,20.72,103.6,Cash,1210,4.4,3.5,1.5
110,2025-08-23,Saturday,1,12,Sunny,Hyderabad,LB Nagar,Secunderabad,Bike,11.9,28,95.2,23.8,71.4,Cash,1071,3.9,3.6,1.0
111,2026-02-27,Friday,0,18,Cloudy,Hyderabad,Jubilee Hills,Charminar,Auto,10.65,25,159.75,31.95,127.8,Debit Card,1258,4.6,3.1,1.5
112,2025-12-05,Friday,0,0,Sunny,Hyderabad,Jubilee Hills,Dilsukhnagar,Mini,14.35,34,172.2,57.4,114.8,Credit Card,1005,3.6,4.4,1.0
113,2025-10-18,Saturday,1,20,Cloudy,Hyderabad,Miyapur,Hitech City,Auto,6.32,15,94.8,18.96,75.84,Debit Card,1426,4.7,4.5,1.5
114,2025-11-05,Wednesday,0,9,Rainy,Hyderabad,Madhapur,Secunderabad,SUV,11.38,27,386.92,79.66,307.26,Wallet,1458,4.0,4.4,1.7
115,2025-09-15,Monday,0,20,Sunny,Hyderabad,Rajiv Gandhi International Airport,Ameerpet,Auto,21.92,52,328.8,65.76,263.04,Credit Card,1394,3.6,3.4,1.5
116,2026-02-17,Tuesday,0,21,Cloudy,Hyderabad,Jubilee Hills,Miyapur,Mini,8.94,21,160.92,35.76,125.16,Wallet,1397,4.9,3.6,1.5
117,2026-07-06,Monday,0,19,Sunny,Hyderabad,Rajiv Gandhi International Airport,LB Nagar,Mini,17.51,42,315.18,70.04,245.14,UPI,1434,3.6,3.9,1.5
118,2025-10-19,Sunday,1,20,Rainy,Hyderabad,Gachibowli,Charminar,Mini,15.94,38,325.18,63.76,261.42,UPI,1476,4.1,4.3,1.7
119,2026-06-22,Monday,0,9,Sunny,Hyderabad,Gachibowli,Dilsukhnagar,Bike,20.28,48,243.36,40.56,202.8,Debit Card,1398,4.3,3.9,1.5
120,2026-01-14,Wednesday,0,23,Cloudy,Hyderabad,Jubilee Hills,Kukatpally,SUV,6.93,16,138.6,48.51,90.09,Wallet,1105,4.5,4.1,1.0
121,2026-06-09,Tuesday,0,5,Sunny,Hyderabad,Dilsukhnagar,Begumpet,Auto,10.36,24,103.6,31.08,72.52,Credit Card,1443,4.6,3.3,1.0
122,2026-03-30,Monday,0,7,Rainy,Hyderabad,Kukatpally,LB Nagar,Mini,23.13,55,333.07,92.52,240.55,UPI,1404,3.6,4.4,1.2
123,2026-03-29,Sunday,1,9,Rainy,Hyderabad,Miyapur,Dilsukhnagar,Mini,22.84,54,465.94,91.36,374.58,Wallet,1183,4.9,4.8,1.7
124,2026-04-05,Sunday,1,10,Sunny,Hyderabad,Ameerpet,Charminar,SUV,8.86,21,265.8,62.02,203.78,Debit Card,1348,4.9,4.0,1.5
125,2026-01-09,Friday,0,18,Sunny,Hyderabad,Jubilee Hills,LB Nagar,SUV,18.17,43,545.1,127.19,417.91,Cash,1121,3.7,4.7,1.5
126,2025-10-02,Thursday,0,18,Cloudy,Hyderabad,Jubilee Hills,Secunderabad,SUV,9.72,23,291.6,68.04,223.56,Debit Card,1468,3.9,3.8,1.5
127,2025-08-27,Wednesday,0,22,Cloudy,Hyderabad,LB Nagar,Dilsukhnagar,Auto,3.88,9,38.8,11.64,27.16,Wallet,1076,3.8,3.7,1.0
128,2026-07-25,Saturday,1,20,Rainy,Hyderabad,Jubilee Hills,Hitech City,Auto,3.4,8,57.8,10.2,47.6,Credit Card,1322,4.7,4.2,1.7
129,2026-02-08,Sunday,1,5,Sunny,Hyderabad,Dilsukhnagar,Kukatpally,Sedan,19.26,46,308.16,96.3,211.86,Wallet,1268,4.3,3.5,1.0
130,2025-08-20,Wednesday,0,19,Sunny,Hyderabad,Jubilee Hills,Dilsukhnagar,Sedan,14.35,34,344.4,71.75,272.65,Cash,1295,4.4,4.3,1.5
131,2025-09-03,Wednesday,0,8,Rainy,Hyderabad,Gachibowli,Madhapur,Mini,4.62,11,94.25,18.48,75.77,Wallet,1080,4.9,4.7,1.7
132,2026-03-18,Wednesday,0,8,Rainy,Hyderabad,Banjara Hills,Begumpet,Mini,4.54,10,92.62,18.16,74.46,Cash,1031,3.5,3.6,1.7
133,2026-04-04,Saturday,1,9,Cloudy,Hyderabad,Rajiv Gandhi International Airport,Miyapur,Mini,29.45,70,530.1,117.8,412.3,Debit Card,1114,4.6,3.2,1.5
134,2025-08-22,Friday,0,17,Cloudy,Hyderabad,Rajiv Gandhi International Airport,Gachibowli,Auto,23.71,56,237.1,71.13,165.97,UPI,1183,3.8,3.7,1.0
135,2025-09-16,Tuesday,0,19,Rainy,Hyderabad,LB Nagar,Gachibowli,Mini,24.0,57,489.6,96.0,393.6,Cash,1172,3.6,3.7,1.7
136,2026-02-21,Saturday,1,18,Cloudy,Hyderabad,Hitech City,Miyapur,Auto,6.32,15,94.8,18.96,75.84,Wallet,1299,4.6,3.1,1.5
137,2026-02-06,Friday,0,15,Sunny,Hyderabad,Hitech City,LB Nagar,Sedan,21.52,51,344.32,107.6,236.72,Credit Card,1380,3.9,4.4,1.0
138,2026-05-10,Sunday,1,17,Sunny,Hyderabad,Begumpet,Secunderabad,Mini,3.39,8,40.68,13.56,27.12,Cash,1231,5.0,4.7,1.0
139,2026-06-27,Saturday,1,23,Cloudy,Hyderabad,Uppal,Madhapur,Sedan,18.42,44,294.72,92.1,202.62,Cash,1207,4.8,4.5,1.0
140,2025-09-03,Wednesday,0,22,Rainy,Hyderabad,Jubilee Hills,Miyapur,SUV,8.94,21,214.56,62.58,151.98,Cash,1128,4.6,4.9,1.2
141,2026-01-10,Saturday,1,20,Cloudy,Hyderabad,Begumpet,Miyapur,Auto,13.12,31,196.8,39.36,157.44,Credit Card,1439,3.7,4.5,1.5
142,2026-02-06,Friday,0,10,Cloudy,Hyderabad,Uppal,Jubilee Hills,Auto,16.42,39,246.3,49.26,197.04,Debit Card,1177,4.0,4.1,1.5
143,2026-05-14,Thursday,0,18,Rainy,Hyderabad,Charminar,Begumpet,Auto,9.16,21,155.72,27.48,128.24,Debit Card,1323,4.0,3.2,1.7
144,2026-02-06,Friday,0,13,Rainy,Hyderabad,LB Nagar,Jubilee Hills,Bike,18.17,43,174.43,36.34,138.09,Cash,1431,3.8,3.3,1.2
145,2026-07-08,Wednesday,0,18,Sunny,Hyderabad,Uppal,Secunderabad,Bike,7.48,17,89.76,14.96,74.8,Cash,1302,4.4,3.3,1.5
146,2026-01-13,Tuesday,0,18,Cloudy,Hyderabad,Miyapur,Jubilee Hills,Sedan,8.94,21,214.56,44.7,169.86,Wallet,1049,5.0,4.2,1.5
147,2026-05-22,Friday,0,6,Sunny,Hyderabad,Dilsukhnagar,Miyapur,Auto,22.84,54,228.4,68.52,159.88,UPI,1101,3.9,4.3,1.0
148,2025-12-20,Saturday,1,18,Rainy,Hyderabad,Ameerpet,Gachibowli,Bike,10.56,25,143.62,21.12,122.5,Cash,1014,3.8,4.1,1.7
149,2025-12-26,Friday,0,20,Rainy,Hyderabad,Uppal,Hitech City,Mini,19.77,47,403.31,79.08,324.23,Wallet,1327,3.9,3.2,1.7
150,2026-03-22,Sunday,1,12,Cloudy,Hyderabad,Jubilee Hills,Ameerpet,SUV,4.41,10,88.2,30.87,57.33,Debit Card,1342,4.3,4.5,1.0
151,2026-03-27,Friday,0,10,Rainy,Hyderabad,Begumpet,Hitech City,SUV,9.51,22,323.34,66.57,256.77,Credit Card,1335,4.2,3.4,1.7
152,2025-08-27,Wednesday,0,21,Sunny,Hyderabad,LB Nagar,Miyapur,SUV,26.71,64,801.3,186.97,614.33,Wallet,1303,4.0,4.5,1.5
153,2026-06-27,Saturday,1,16,Rainy,Hyderabad,Miyapur,Hitech City,Sedan,6.32,15,121.34,31.6,89.74,UPI,1368,3.9,4.7,1.2
154,2026-07-13,Monday,0,20,Cloudy,Hyderabad,LB Nagar,Jubilee Hills,Bike,18.17,43,218.04,36.34,181.7,Debit Card,1282,4.6,4.8,1.5
155,2025-11-01,Saturday,1,22,Cloudy,Hyderabad,Begumpet,Dilsukhnagar,Mini,10.36,24,124.32,41.44,82.88,Wallet,1040,4.3,3.6,1.0
156,2026-01-31,Saturday,1,9,Sunny,Hyderabad,Dilsukhnagar,Miyapur,SUV,22.84,54,685.2,159.88,525.32,UPI,1233,3.8,4.6,1.5
157,2025-09-27,Saturday,1,7,Cloudy,Hyderabad,LB Nagar,Uppal,SUV,6.69,16,133.8,46.83,86.97,Wallet,1461,4.4,4.1,1.0
158,2025-10-10,Friday,0,16,Sunny,Hyderabad,LB Nagar,Kukatpally,SUV,23.13,55,462.6,161.91,300.69,Wallet,1403,4.3,3.6,1.0
